"","x"
"2688",60235567.3302818
"2689",60208129.9211642
"2690",60408065.8062207
"2691",60169689.9989013
"2692",59885800.9091264
"2693",60119545.0464977
"2694",62276886.0333484
"2695",60533682.1639809
"2696",60186410.4986666
"2697",60210548.25823
"2698",60697295.5624276
"2699",61955703.2317086
"2700",59931544.981971
"2701",61254349.6827151
"2702",59505320.630843
"2703",60505792.5395543
"2704",60032010.9339767
"2705",61460165.2766045
"2706",59056993.7707636
"2707",61521549.3127809
"2708",60775672.6823572
"2709",58231246.4881219
"2710",60609381.4453201
"2711",59849416.4348162
"2712",60128801.1057475
"2713",58503274.4061389
"2714",60229867.2732297
"2715",59710412.6390603
"2716",61436614.6573111
"2717",60796387.6825106
"2718",60146426.2304669
"2719",61077480.2864449
"2720",60598104.711782
"2721",61948577.2738353
"2722",61681548.3682416
"2723",61453700.1122306
"2724",59531358.7560171
"2725",59679769.9138849
"2726",61706221.6426305
"2727",60750388.0340203
"2728",60344221.500686
"2729",59565074.330045
"2730",60500124.1095472
"2731",60040473.579908
"2732",59678082.6193853
"2733",60145524.5590071
"2734",60725810.6086819
"2735",58020859.238933
"2736",61623844.7588441
"2737",61014107.1114642
"2738",60655395.3231173
"2739",61000336.8533873
"2740",58795738.9789214
"2741",60819436.833346
"2742",60686214.1883819
"2743",61894765.4167771
"2744",60155903.7447224
"2745",60382734.7354078
"2746",60729941.4123693
"2747",60750416.8800453
"2748",61887335.9187806
"2749",59989488.1374568
"2750",59360985.805789
"2751",59355479.8566005
"2752",60960270.8520262
"2753",59141363.0371344
"2754",60176308.9414836
"2755",58445612.5615942
"2756",62270162.7219023
"2757",60247681.5244851
"2758",60756950.5567773
"2759",60368859.2555257
"2760",60172980.3842828
"2761",61450490.4667594
"2762",60269405.5662895
"2763",60347378.9091274
"2764",61072226.6117633
"2765",60718297.1288365
"2766",60697236.942298
"2767",60794265.0415051
"2768",60380141.0227825
"2769",60464655.2983248
"2770",60091230.3219283
"2771",60972888.1809523
"2772",60809447.6055709
"2773",59943792.712045
"2774",60982500.9247446
"2775",59818548.3787029
"2776",60923736.5381667
"2777",59529058.4120286
"2778",61244789.5022319
"2779",58965441.6915747
"2780",58249587.2430362
"2781",60375570.247703
"2782",60586814.0154276
"2783",59917312.3210341
"2784",61012926.0855509
"2785",62071126.2918149
"2786",59295432.1251312
"2787",59819876.2733977
"2788",59574790.7127434
"2789",59121881.0580255
"2790",60596575.807341
"2791",59830848.0475519
"2792",59634718.1237121
"2793",60614149.6365737
"2794",60549249.6166893
"2795",60843023.9523283
"2796",58963700.2778552
"2797",60055033.3844167
"2798",60750130.7661655
"2799",61219122.3580003
"2800",59753363.5593054
"2801",59219150.2223372
"2802",61309198.3172549
"2803",60547276.3308926
"2804",60118072.6441853
"2805",59286316.288191
"2806",60956619.6310443
"2807",59745428.042641
"2808",59666252.7378794
"2809",59434135.0321035
"2810",61302538.0078856
"2811",59538941.4365391
"2812",59826756.0893994
"2813",59407113.7308767
"2814",60880148.764641
"2815",59312822.3029995
